"model_id","location","Energy Score","Brier Score Point","Brier Score Dist","Interval Coverage 50","Interval Coverage 90","n"
"Hub-ensemble","IN",0.0231345162224156,0.0162561771157199,0.032288420666932,1,1,3
"Hub-ensemble","KS",0.612706574739957,0.432996475186427,0.460807190249885,0.986371379897785,0.99488926746167,28
"Hub-ensemble","KY",0.0386193382389311,0.0274839406955301,0.0519636447408594,1,1,5
"Hub-ensemble","LA",0.800650568555052,0.498043027437339,0.520167733895258,0.981292517006803,0.995748299319728,51
"Hub-ensemble","MA",0.582671605621616,0.143747551537681,0.168361509316349,0.903501280956447,0.974380871050384,290
"Hub-ensemble","MD",0.753596400708062,0.173686063272208,0.189318808176942,0.641912512716175,0.884028484231943,866
"Hub-ensemble","ME",NA,NA,NA,1,1,0
"Hub-ensemble","MI",0.548872130637433,0.234201210441929,0.255507185297217,0.821808510638298,0.942375886524823,626
"Hub-ensemble","MN",1.32653447765338,0.220379005925648,0.23535747856764,0.449790794979079,0.892259414225941,945
"Hub-ensemble","MO",0.363890814342417,0.206834925436602,0.239601678085748,0.968510638297872,0.986382978723404,137
"Hub-ensemble","MS",0.863025002514896,0.610269563568788,0.641246231354726,0.991482112436116,0.995741056218058,12
"Hub-ensemble","MT",0.869440664894099,0.61493399141911,0.717894675522728,0.999149659863946,0.999149659863946,1
"Hub-ensemble","NC",0.323433846251762,0.212933959035428,0.238251449790061,0.983788395904437,0.994880546075085,77
"Hub-ensemble","ND",0.348198457531547,0.215566115705937,0.248756046427735,0.974337040205304,0.995722840034217,99
"Hub-ensemble","NE",0.292449382648759,0.207062181759363,0.23977893256093,0.997442455242967,0.999147485080989,12
"Hub-ensemble","NH",0.558823859123595,0.245326699603643,0.277753256261271,0.982993197278912,0.988945578231292,60
"Hub-ensemble","NJ",0.482867824531933,0.128457353186096,0.145343975823293,0.789923954372624,0.946768060836502,819
"Hub-ensemble","NM",0.614927815003395,0.222313027812013,0.249878663354746,0.87063829787234,0.963404255319149,625
"Hub-ensemble","NV",NA,NA,NA,1,1,0
"Hub-ensemble","NY",0.779138314259122,0.21017866547468,0.231338202480945,0.829292929292929,0.931313131313131,396
"Hub-ensemble","OH",0.505866079160842,0.356862167719109,0.398475891080128,0.994042553191489,0.998297872340426,16
"Hub-ensemble","OK",0.280636865628848,0.172489238977468,0.201361430229019,0.994893617021277,1,42
"Hub-ensemble","OR",0.772679417154545,0.245904500922636,0.271198241664082,0.640796019900498,0.904477611940299,772
"Hub-ensemble","PA",0.392753933237217,0.194654514669375,0.220731342372164,0.945252352437981,0.991445680068435,160
"Hub-ensemble","PR",1.05478931794529,0.284850065278964,0.302803703175554,0.741904761904762,0.89047619047619,513
